datetime,pm_occupancy,mt_occupancy,ml_occupancy,,,,
07/30/2018 12:15,16,23,21,,,,
07/30/2018 12:30,17,25,17,,,,
07/30/2018 12:45,21,23,20,,,,
07/30/2018 13:00,26,27,19,,,,
07/30/2018 13:15,23,27,23,,,,
07/30/2018 13:30,21,25,25,,,,
07/30/2018 13:45,17,20,17,,,,
07/30/2018 14:00,17,20,16,,,,
07/30/2018 14:15,18,16,11,,,,
07/30/2018 14:30,16,15,15,,,,
07/30/2018 14:45,16,18,14,,,,
07/30/2018 15:00,16,24,22,,,,
07/30/2018 15:15,16,17,17,,,,
07/30/2018 15:30,16,16,15,,,,
07/30/2018 15:45,15,17,15,,,,
07/30/2018 16:00,19,20,19,,,,
07/30/2018 16:15,19,21,18,,,,
07/30/2018 16:30,16,18,17,,,,
07/30/2018 16:45,14,15,13,,,,
07/30/2018 17:00,14,17,14,,,,
07/30/2018 17:15,15,17,13,,,,
07/30/2018 17:30,15,15,13,,,,
07/30/2018 17:45,14,16,14,,,,
07/30/2018 18:00,13,16,16,,,,
07/30/2018 18:15,16,19,20,,,,
07/30/2018 18:30,16,16,15,,,,
07/30/2018 18:45,20,18,18,,,,
07/30/2018 19:15,19,20,20,,,,
07/30/2018 19:30,22,20,21,,,,
07/30/2018 19:45,22,20,21,,,,
07/31/2018 6:00,0,1,1,,,,
07/31/2018 6:15,0,1,1,,,,
07/31/2018 6:30,0,1,0,,,,
07/31/2018 6:45,0,2,1,,,,
07/31/2018 7:00,0,2,1,,,,
07/31/2018 7:15,0,3,2,,,,
07/31/2018 7:30,0,3,1,,,,
07/31/2018 7:45,0,3,4,,,,
07/31/2018 8:00,2,4,4,,,,
07/31/2018 8:15,2,2,1,,,,
07/31/2018 8:30,3,4,3,,,,
07/31/2018 8:45,4,4,4,,,,
07/31/2018 9:00,3,6,7,,,,
07/31/2018 9:15,6,9,6,,,,
07/31/2018 9:30,8,9,6,,,,
07/31/2018 9:45,7,8,6,,,,
07/31/2018 10:00,7,9,9,,,,
07/31/2018 10:15,8,11,15,,,,
07/31/2018 10:30,7,7,13,,,,
07/31/2018 10:45,6,10,16,,,,
07/31/2018 11:00,10,13,14,,,,
07/31/2018 11:15,11,12,17,,,,
07/31/2018 11:30,12,18,19,,,,
07/31/2018 11:45,13,17,17,,,,
07/31/2018 12:00,18,18,15,,,,
07/31/2018 12:15,22,18,19,,,,
07/31/2018 12:30,21,19,21,,,,
07/31/2018 12:45,21,22,17,,,,
07/31/2018 13:00,18,7,1,,,,
07/31/2018 13:15,19,23,19,,,,
07/31/2018 13:30,28,22,20,,,,
07/31/2018 13:45,29,24,16,,,,
07/31/2018 14:00,25,26,23,,,,
07/31/2018 14:15,20,21,18,,,,
07/31/2018 14:30,23,25,23,,,,
07/31/2018 14:45,22,24,23,,,,
07/31/2018 15:00,28,24,22,,,,
07/31/2018 15:15,23,24,24,,,,
07/31/2018 15:30,21,21,19,,,,
07/31/2018 15:45,25,24,19,,,,
07/31/2018 16:00,23,20,18,,,,
07/31/2018 16:15,20,16,16,,,,
07/31/2018 16:30,18,16,16,,,,
07/31/2018 16:45,15,8,11,,,,
07/31/2018 17:00,14,8,9,,,,
07/31/2018 17:15,11,9,14,,,,
07/31/2018 17:30,11,11,6,,,,
07/31/2018 17:45,14,16,7,,,,
07/31/2018 18:00,16,18,6,,,,
07/31/2018 18:15,18,22,12,,,,
07/31/2018 18:30,20,20,9,,,,
07/31/2018 18:45,27,24,12,,,,
07/31/2018 19:00,25,25,9,,,,
07/31/2018 19:15,28,29,15,,,,
07/31/2018 19:30,26,22,13,,,,
07/31/2018 19:45,24,23,15,,,,
08/01/2018 6:00,0,1,1,,,,
08/01/2018 6:15,0,1,1,,,,
08/01/2018 6:30,0,1,2,,,,
08/01/2018 6:45,0,1,1,,,,
08/01/2018 7:00,0,1,1,,,,
08/01/2018 7:15,0,1,1,,,,
08/01/2018 7:30,0,1,1,,,,
08/01/2018 7:45,0,2,3,,,,
08/01/2018 8:00,0,3,5,,,,
08/01/2018 8:15,1,3,3,,,,
08/01/2018 8:30,2,5,4,,,,
08/01/2018 8:45,4,7,7,,,,
08/01/2018 9:00,4,8,9,,,,
08/01/2018 9:15,5,7,9,,,,
08/01/2018 9:30,7,10,8,,,,
08/01/2018 9:45,8,10,10,,,,
08/01/2018 10:00,8,10,14,,,,
08/01/2018 10:15,11,14,18,,,,
08/01/2018 10:30,11,14,11,,,,
08/01/2018 10:45,13,13,8,,,,
08/01/2018 11:00,13,14,12,,,,
08/01/2018 11:15,18,18,12,,,,
08/01/2018 11:30,18,19,18,,,,
08/01/2018 11:45,21,22,18,,,,
08/01/2018 12:00,22,21,12,,,,
08/01/2018 12:15,28,25,17,,,,
08/01/2018 12:30,30,29,22,,,,
08/01/2018 12:45,22,25,18,,,,
08/01/2018 13:00,27,28,20,,,,
08/01/2018 13:15,24,28,26,,,,
08/01/2018 13:30,24,30,23,,,,
08/01/2018 13:45,26,30,24,,,,
08/01/2018 14:00,24,27,23,,,,
08/01/2018 14:15,20,23,18,,,,
08/01/2018 14:30,17,18,13,,,,
08/01/2018 14:45,17,17,16,,,,
08/01/2018 15:00,16,10,9,,,,
08/01/2018 15:15,16,12,12,,,,
08/01/2018 15:30,12,8,9,,,,
08/01/2018 15:45,9,10,10,,,,
08/01/2018 16:00,10,15,15,,,,
08/01/2018 16:15,10,20,17,,,,
08/01/2018 16:30,18,20,17,,,,
08/01/2018 16:45,18,19,20,,,,
08/01/2018 17:00,17,20,17,,,,
08/01/2018 17:15,21,20,17,,,,
08/01/2018 17:30,26,23,19,,,,
08/01/2018 17:45,24,24,17,,,,
08/01/2018 18:00,25,25,23,,,,
08/01/2018 18:15,25,25,21,,,,
08/01/2018 18:30,28,24,17,,,,
08/01/2018 18:45,26,24,20,,,,
08/01/2018 19:00,31,30,14,,,,
08/01/2018 19:15,32,30,11,,,,
08/01/2018 19:30,29,30,13,,,,
08/01/2018 19:45,23,28,23,,,,
08/02/2018 6:00,0,0,1,,,,
08/02/2018 6:15,0,0,0,,,,
08/02/2018 6:30,0,0,0,,,,
08/02/2018 6:45,0,0,1,,,,
08/02/2018 7:00,0,0,0,,,,
08/02/2018 7:15,0,1,2,,,,
08/02/2018 7:30,0,2,1,,,,
08/02/2018 7:45,0,2,2,,,,
08/02/2018 8:00,2,4,4,,,,
08/02/2018 8:15,2,4,4,,,,
08/02/2018 8:30,2,5,4,,,,
08/02/2018 8:45,3,7,4,,,,
08/02/2018 9:00,3,4,3,,,,
08/02/2018 9:15,3,3,2,,,,
08/02/2018 9:30,3,6,4,,,,
08/02/2018 9:45,4,9,7,,,,
08/02/2018 10:00,5,8,5,,,,
08/02/2018 10:15,4,7,9,,,,
08/02/2018 10:30,2,8,5,,,,
08/02/2018 10:45,4,10,8,,,,
08/02/2018 11:00,6,12,7,,,,
08/02/2018 11:15,7,13,9,,,,
08/02/2018 11:30,7,14,11,,,,
08/02/2018 11:45,9,14,14,,,,
08/02/2018 12:00,11,18,17,,,,
08/02/2018 12:15,19,21,21,,,,
08/02/2018 12:30,19,21,16,,,,
08/02/2018 12:45,12,19,16,,,,
08/02/2018 13:00,18,26,14,,,,
08/02/2018 13:15,19,25,19,,,,
08/02/2018 13:30,21,24,15,,,,
08/02/2018 13:45,20,23,17,,,,
08/02/2018 14:00,21,21,14,,,,
08/02/2018 14:15,25,18,17,,,,
08/02/2018 14:30,22,22,18,,,,
08/02/2018 14:45,22,22,21,,,,
08/02/2018 15:00,20,17,14,,,,
08/02/2018 15:15,16,14,12,,,,
08/02/2018 15:30,14,16,18,,,,
08/02/2018 15:45,17,21,15,,,,
08/02/2018 16:00,21,20,19,,,,
08/02/2018 16:15,23,19,20,,,,
08/02/2018 16:30,28,26,21,,,,
08/02/2018 16:45,26,28,22,,,,
08/02/2018 17:00,30,25,18,,,,
08/02/2018 17:15,30,25,23,,,,
08/02/2018 17:30,30,27,27,,,,
08/02/2018 17:45,30,31,26,,,,
08/02/2018 18:00,29,31,29,,,,
08/02/2018 18:15,27,26,22,,,,
08/02/2018 18:30,25,24,21,,,,
08/02/2018 18:45,24,25,22,,,,
08/02/2018 19:00,28,31,17,,,,
08/02/2018 19:15,26,31,26,,,,
08/02/2018 19:30,25,29,26,,,,
08/02/2018 19:45,23,31,24,,,,
08/03/2018 6:00,0,0,1,,,,
08/03/2018 6:15,0,0,1,,,,
08/03/2018 6:30,0,0,1,,,,
08/03/2018 6:45,0,0,1,,,,
08/03/2018 7:00,0,0,1,,,,
08/03/2018 7:15,0,0,0,,,,
08/03/2018 7:30,0,0,0,,,,
08/03/2018 7:45,1,1,2,,,,
08/03/2018 8:00,2,3,3,,,,
08/03/2018 8:15,3,6,7,,,,
08/03/2018 8:30,4,6,4,,,,
08/03/2018 8:45,5,7,5,,,,
08/03/2018 9:00,7,8,6,,,,
08/03/2018 9:15,7,9,10,,,,
08/03/2018 9:30,7,9,13,,,,
08/03/2018 9:45,7,7,7,,,,
08/03/2018 10:00,10,13,16,,,,
08/03/2018 10:15,11,14,16,,,,
08/03/2018 10:30,7,11,9,,,,
08/03/2018 10:45,9,9,9,,,,
08/03/2018 11:00,9,9,8,,,,
08/03/2018 11:15,14,16,17,,,,
08/03/2018 11:30,16,15,16,,,,
08/03/2018 11:45,18,25,21,,,,
08/03/2018 12:00,26,20,15,,,,
08/03/2018 12:15,28,19,17,,,,
08/03/2018 12:30,33,26,21,,,,
08/03/2018 12:45,36,29,26,,,,
08/03/2018 13:00,36,27,22,,,,
08/03/2018 13:15,34,25,21,,,,
08/03/2018 13:30,32,23,18,,,,
08/03/2018 13:45,32,24,18,,,,
08/03/2018 14:00,38,24,16,,,,
08/03/2018 14:15,37,25,20,,,,
08/03/2018 14:30,32,22,25,,,,
08/03/2018 14:45,33,24,25,,,,
08/03/2018 15:00,32,25,25,,,,
08/03/2018 15:15,25,25,26,,,,
08/03/2018 15:30,22,22,21,,,,
08/03/2018 15:45,25,23,24,,,,
08/03/2018 16:00,26,22,17,,,,
08/03/2018 16:15,25,18,13,,,,
08/03/2018 16:30,21,14,14,,,,
08/03/2018 16:45,18,15,16,,,,
08/03/2018 17:00,25,23,17,,,,
08/03/2018 17:15,28,21,14,,,,
08/03/2018 17:30,29,21,17,,,,
08/03/2018 17:45,28,22,16,,,,
08/03/2018 18:00,25,25,17,,,,
08/03/2018 18:15,24,27,18,,,,
08/03/2018 18:30,24,28,21,,,,
08/03/2018 18:45,23,28,21,,,,
08/03/2018 19:00,26,25,19,,,,
08/03/2018 19:15,27,25,20,,,,
08/03/2018 19:30,27,26,21,,,,
08/03/2018 19:45,26,31,22,,,,
08/04/2018 6:00,0,0,0,,,,
08/04/2018 6:15,0,0,0,,,,
08/04/2018 6:30,0,0,0,,,,
08/04/2018 6:45,0,0,1,,,,
08/04/2018 7:00,0,0,1,,,,
08/04/2018 7:15,0,0,0,,,,
08/04/2018 7:30,0,0,0,,,,
08/04/2018 7:45,1,2,3,,,,
08/04/2018 8:00,1,2,3,,,,
08/04/2018 8:15,0,0,0,,,,
08/04/2018 8:30,1,2,4,,,,
08/04/2018 8:45,1,1,3,,,,
08/04/2018 9:00,3,5,6,,,,
08/04/2018 9:15,4,4,5,,,,
08/04/2018 9:30,7,7,8,,,,
08/04/2018 9:45,7,8,9,,,,
08/04/2018 10:00,13,11,11,,,,
08/04/2018 10:15,13,15,15,,,,
08/04/2018 10:30,17,19,16,,,,
08/04/2018 10:45,19,25,24,,,,
08/04/2018 11:00,26,29,23,,,,
08/04/2018 11:15,30,30,25,,,,
08/04/2018 11:30,27,29,27,,,,
08/04/2018 11:45,28,29,20,,,,
08/04/2018 12:00,27,29,24,,,,
08/04/2018 12:15,30,27,26,,,,
08/04/2018 12:30,31,26,25,,,,
08/04/2018 12:45,32,28,25,,,,
08/04/2018 13:00,30,29,24,,,,
08/04/2018 13:15,33,27,25,,,,
08/04/2018 13:30,36,29,24,,,,
08/04/2018 13:45,41,29,23,,,,
08/04/2018 14:00,38,30,24,,,,
08/04/2018 14:15,36,26,22,,,,
08/04/2018 14:30,33,23,18,,,,
08/04/2018 14:45,30,23,17,,,,
08/04/2018 15:00,27,21,12,,,,
08/04/2018 15:15,24,22,14,,,,
08/04/2018 15:30,23,22,18,,,,
08/04/2018 15:45,22,19,11,,,,
08/04/2018 16:00,23,16,12,,,,
08/04/2018 16:15,18,14,14,,,,
08/04/2018 16:30,19,17,17,,,,
08/04/2018 16:45,22,19,21,,,,
08/04/2018 17:00,18,15,14,,,,
08/04/2018 17:15,18,16,16,,,,
08/04/2018 17:30,18,16,18,,,,
08/04/2018 17:45,20,18,18,,,,
08/04/2018 18:00,29,27,21,,,,
08/04/2018 18:15,27,30,20,,,,
08/04/2018 18:30,25,30,19,,,,
08/04/2018 18:45,23,26,13,,,,
08/04/2018 19:00,19,28,8,,,,
08/04/2018 19:15,23,28,20,,,,
08/04/2018 19:30,29,30,19,,,,
08/04/2018 19:45,30,25,19,,,,
08/05/2018 6:00,0,1,1,,,,
08/05/2018 6:15,0,2,2,,,,
08/05/2018 6:30,0,2,2,,,,
08/05/2018 6:45,0,2,2,,,,
08/05/2018 7:00,0,2,2,,,,
08/05/2018 7:15,0,4,3,,,,
08/05/2018 7:30,0,3,2,,,,
08/05/2018 7:45,0,3,4,,,,
08/05/2018 8:00,0,4,4,,,,
08/05/2018 8:15,0,5,4,,,,
08/05/2018 8:30,0,6,4,,,,
08/05/2018 8:45,0,10,11,,,,
08/05/2018 9:00,0,8,6,,,,
08/05/2018 9:15,0,8,8,,,,
08/05/2018 9:30,0,16,10,,,,
08/05/2018 9:45,1,21,17,,,,
08/05/2018 10:00,0,23,17,,,,
08/05/2018 10:15,1,26,25,,,,
08/05/2018 10:30,1,27,26,,,,
08/05/2018 10:45,2,27,26,,,,
08/05/2018 11:00,2,23,21,,,,
08/05/2018 11:15,1,21,19,,,,
08/05/2018 11:30,1,23,23,,,,
08/05/2018 11:45,1,26,25,,,,
08/05/2018 12:00,1,26,25,,,,
08/05/2018 12:15,1,27,22,,,,
08/05/2018 12:30,1,27,21,,,,
08/05/2018 12:45,1,28,23,,,,
08/05/2018 13:00,2,27,21,,,,
08/05/2018 13:15,2,28,25,,,,
08/05/2018 13:30,3,31,26,,,,
08/05/2018 13:45,3,29,30,,,,
08/05/2018 14:00,4,25,20,,,,
08/05/2018 14:15,2,26,22,,,,
08/05/2018 14:30,1,21,18,,,,
08/05/2018 14:45,3,23,17,,,,
08/05/2018 15:00,4,24,20,,,,
08/05/2018 15:15,3,17,12,,,,
08/05/2018 15:30,2,15,15,,,,
08/05/2018 15:45,2,10,11,,,,
08/05/2018 16:00,1,14,16,,,,
08/05/2018 16:15,2,14,12,,,,
08/05/2018 16:30,2,16,16,,,,
08/05/2018 16:45,2,16,17,,,,
08/05/2018 17:00,2,21,22,,,,
08/05/2018 17:15,0,27,19,,,,
08/05/2018 17:30,1,28,23,,,,
08/05/2018 17:45,1,22,16,,,,
08/05/2018 18:00,2,26,13,,,,
08/05/2018 18:15,3,26,15,,,,
08/05/2018 18:30,3,27,18,,,,
08/05/2018 18:45,2,27,10,,,,
08/05/2018 19:00,3,29,14,,,,
08/05/2018 19:15,2,26,10,,,,
08/05/2018 19:30,2,29,15,,,,
08/05/2018 19:45,2,28,0,,,,
