"","Zone ","Zone Description","","Insert Date","Parking Amount"
"","5952","Amherst, MA","","43314.63435975694","0.5"
"","5952","Amherst, MA","","43314.63491443287","1.0"
"","5952","Amherst, MA","","43314.65241408565","4.0"
"","5952","Amherst, MA","","43314.67568815972","0.5"
"","5952","Amherst, MA","","43314.718149189815","1.5"
"","5952","Amherst, MA","","43314.726950729164","3.0"
"","5952","Amherst, MA","","43314.76214170139","2.0"
"","5952","Amherst, MA","","43314.78408052083","1.0"
"","5952","Amherst, MA","","43314.78666322916","1.5"
"","5952","Amherst, MA","","43315.36817129629","1.0"
"","5952","Amherst, MA","","43315.41168348379","0.5"
"","5952","Amherst, MA","","43315.41871258102","1.5"
"","5952","Amherst, MA","","43315.420300694444","0.5"
"","5952","Amherst, MA","","43315.444616863424","1.0"
"","5952","Amherst, MA","","43315.48078799769","1.5"
"","5952","Amherst, MA","","43315.48941666666","0.5"
"","5952","Amherst, MA","","43315.50860497685","0.5"
"","5952","Amherst, MA","","43315.509216817125","1.0"
"","5952","Amherst, MA","","43315.51482337963","4.0"
"","5952","Amherst, MA","","43315.520037766204","1.0"
"","5952","Amherst, MA","","43315.530239618056","0.5"
"","5952","Amherst, MA","","43315.53149609954","0.5"
"","5952","Amherst, MA","","43315.547470868056","1.0"
"","5952","Amherst, MA","","43315.55670130787","2.0"
"","5952","Amherst, MA","","43315.562298460645","1.0"
"","5952","Amherst, MA","","43315.5670440162","3.0"
"","5952","Amherst, MA","","43315.57576003472","0.5"
"","5952","Amherst, MA","","43315.60595929398","1.0"
"","5952","Amherst, MA","","43315.62052403935","2.0"
"","5952","Amherst, MA","","43315.63626296296","0.5"
"","5952","Amherst, MA","","43315.64978480324","4.0"
"","5952","Amherst, MA","","43315.65035138889","0.5"
"","5952","Amherst, MA","","43315.67061693287","0.5"
"","5952","Amherst, MA","","43315.718100659724","1.0"
"","5952","Amherst, MA","","43315.787758831015","1.5"
"","5952","Amherst, MA","","43315.793337118055","1.0"
"","5952","Amherst, MA","","43315.826846909724","0.5"
"","5952","Amherst, MA","","43316.367872916664","0.5"
"","5952","Amherst, MA","","43316.37223903935","3.0"
"","5952","Amherst, MA","","43316.401957256945","4.0"
"","5952","Amherst, MA","","43316.407633599534","4.0"
"","5952","Amherst, MA","","43316.42699864583","2.0"
"","5952","Amherst, MA","","43316.43675836805","1.5"
"","5952","Amherst, MA","","43316.44023260417","0.5"
"","5952","Amherst, MA","","43316.440922951384","2.0"
"","5952","Amherst, MA","","43316.46461427083","0.5"
"","5952","Amherst, MA","","43316.51207233796","0.5"
"","5952","Amherst, MA","","43316.57120315972","1.0"
"","5952","Amherst, MA","","43316.57669826389","3.0"
"","5952","Amherst, MA","","43316.58198665509","1.0"
"","5952","Amherst, MA","","43316.60051913194","0.5"
"","5952","Amherst, MA","","43316.614049421296","1.0"
"","5952","Amherst, MA","","43316.62417060185","1.0"
"","5952","Amherst, MA","","43316.64006304398","0.5"
"","5952","Amherst, MA","","43316.65513140046","0.5"
"","5952","Amherst, MA","","43316.69142210648","1.0"
"","5952","Amherst, MA","","43316.74927384259","1.0"
"","5952","Amherst, MA","","43316.8065130787","1.0"
"","5952","Amherst, MA","","43316.82779383102","0.5"
